YEAR,ORI,AGENCY NAME,POPULATION,NUMBER OF MONTHS REPROTED,TOTAL COMMERCIAL SEX ACTS,TOTAL COMMERCIAL SEX ACTS CLEARED,TOTAL COMMERCIAL SEX ACTS JUVENILE CLEARED,TOTAL INVOLUNTARY SERVITUDE,TOTAL INVOLUNTARY SERVITUDE CLEARED,TOTAL INVOLUNTARY SERVITUDE JUVENILE CLEARED
2013,MO01907,RAYMORE,"19,643",6,0,0,0,0,0,0
2013,MO01908,GARDEN CITY,"1,637",7,0,0,0,0,0,0
2013,MO01909,CREIGHTON,345,5,0,0,0,0,0,0
2013,MO01910,LAKE WINNEBAGO,"1,129",6,0,0,0,0,0,0
2013,MO01911,CLEVELAND,657,5,0,0,0,0,0,0
2013,MO01913,FREEMAN,480,5,0,0,0,0,0,0
2013,MO01916,STRASBURG,142,6,0,0,0,0,0,0
2013,MO02000,CEDAR,"10,246",6,0,0,0,0,0,0
2013,MO02001,EL DORADO SPRINGS,"3,520",5,0,0,0,0,0,0
2013,MO02100,CHARITON,"5,162",7,0,0,0,0,0,0
2013,MO02101,BRUNSWICK,831,12,0,0,0,0,0,0
